,,,,,
Harry Potter Trivia,,,,,
WE ARE NO LONGER USING THE GOOGLE DOC EVERYTHING IS IN HERE,,,,,
"Follow ups are not required, but we're using them for the fact trivia.",,,,,
Orange Line - We have not entered anything below this into Alexa.,,,,,
,,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3,Follow Up
Which of these magical creatures is not found in Europe?,Demiguise,Ashwinder,Mackled Malaclaw,Augurey,"The Demiguise, a magical creature with the ability to turn invisible and predict the future, is found in eastern Asia."
What is Cho Chang’s patronus?,Swan ,Hare,Otter,Dolphin,Cho Chang’s Patronus is a swan. She first cast a successful Patronus Charm at a Dumbledore’s Army meeting.
What spell is the opposite of Alohomora?,Colloportus,Episkey,Immobulus,Clauditis,"The spell Colloportus, used to lock doors, is the opposite of Alohomora, which is used to open doors."
What did Lavender give Ron for Christmas?,"""My Sweetheart"" Locket",Chocolate Cauldrons,"""L and R Forever"" Pink Scarf",Cauldron Cakes,Ron is disgusted when he sees that Lavender has given him a “My Sweetheart” Locket for Christmas in the sixth book.
"What spell did Hermione use against the Death Eaters at the Battle of Hogwarts, resulting in a stone wall?",Duro,Reducto,Lithos,Protego,"While running away from Death Eaters in the Battle of Hogwarts, Hermione turns a wall into stone using the incantation “Duro”."
What is the name of the Uspeakable who died the fifth book from a Devil's Snare?,Broderick Bode,Sturgis Podmore,Saul Croaker,Levina Monkstanley,"Broderick Bode, an Unspeakable, died from a potted Devil’s Snare, which was anonymously gifted to him while he was in St. Mungo’s. The fatal Devil’s Snare had been mistaken for a harmless Flitterbloom."
What gift did Hagrid give Harry for Christmas in the first book?,Flute,Recorder,Harp,Clarinet,"Hagrid gifts Harry a flute for Christmas in the Philosopher’s Stone, which Harry uses to lull Fluffy to sleep."
What was the number of the Quidditch World Cup which took place in the fourth book?,Four hundred twenty second,Five hundred sixty seventh,Four hundred thirty second,Five hundred twenty third,"The first Quidditch World Cup took place in 1473, where all 700 possible Quidditch fouls were committed. The Quidditch World Cup of 1994 was the 422nd cup to take place."
Which teams were playing each other the first time Luna Lovegood acted as commentator for a Quidditch match?,Hufflepuff versus Gryffindor,Hufflepuff versus Slytherin,Hufflepuff versus Ravenclaw,Ravenclaw versus Gryffindor,"Luna Lovegood is commentator for the Hufflepuff versus Gryffindor match in the sixth book. During this match, Cormac McLaggen hits a Bludger at Harry’s forehead, causing him to have a cracked skill."
What was the name of the organization that Ron suggested Hermione create while discussing Ludo Bagman in the Three Broomsticks?,Society for the Protection of Ugly Goblins,Society for the Preservation of Magical Creatures,Society for the Protection of Endangered Mermaids,Society for the Treatment of Obnoxious Bowtruckles,"Harry, Ron, and Hermione see Ludo Bagman arguing with goblins in the Three Broomsticks, and Ron jokingly suggests that Hermione create the Society for the Protection of Ugly Goblins."
"In the Quibbler article about Sirius, what does Doris Purkiss claim is Sirius’s real name?",Stubby Boardman,Simon Bonnacord,Hugo Bowman,Humphrey Butterworth,"Doris Purkiss says that Sirius is actually Stubby Boardman, who could not have cast the curse which killed 13 people, as she was at the same time enjoying a romantic candlelight dinner with him."
Who was the heavily bandaged man in the Hog’s Head?,Willy Widdershins,Mundungus Fletcher,Bertram Aubrey,Malcolm Baddock,"Willy Widdershins, the heavily bandaged man in the Hog’s Head, is not prosecuted for causing Muggle toilets to explode because he reports Dumbledore’s Army to the Ministry."
Which of these potions were NOT brewing in Slughorn’s classroom the first day of N.E.W.T. level Potions?,Aconite,Veritaserum,Amortentia,Polyjuice Potion,"Aconite, also known as wolfsbane, is an ingredient mentioned by Snape in Harry’s first Potions class."
Which of these does Hermione NOT smell when she smells Amortentia?,Freshly washed clothes,Freshly mown grass,Parchment paper,Ron,"In N.E.W.T. level potions, Hermione tells the class that Amortentia smells different to everyone. She says that she smells freshly mown grass and parchment paper, and it is implied that she also smells Ron."
Between which two books does Amelia Bones die?,Fifth and sixth,Sixth and seventh,Fourth and fifth,Third and fourth,"Amelia Bones, aunt to the Hufflepuff in Harry’s year, Susan Bones, is murdered personally by Voldemort before the start of the sixth book. Her body is discovered by Muggles her room, locked from the inside."
Who said this? “I don't know how you stand it – it's horrible.”,Susan Bones,Neville Longbottom,Colin Creevey,Hermione Granger,"Susan Bones’ grandparents, uncle, aunt, and cousins were all murdered during the First Wizarding War. Thus, during the fifth book, she is subject to much unwanted attention from other students."
What is the name of Fleur Delacour’s little sister?,Gabrielle,Guinivere,Gisele,Genevieve,"Harry first meets Gabrielle, Fleur’s younger sister, during the second task of the Triwizard Cup. He later meets her during Bill and Fleur’s wedding."
